"id_invoice","id_distributor","id_cabang","cabang_sales","tanggal","id_customer","nama","id_barang","nama_barang","kemasan","jumlah_barang","harga","kode_lini","lini","brand_id","id_group","group"
IN6065,EPM,CAB08,Tangerang,"2022-01-23",CUST55474,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,4,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6208,TD,CAB09,Bekasi,"2022-01-30",CUST55475,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,8,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6148,TA,CAB10,Padang,"2022-01-31",CUST55476,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,9,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6072,EPM,CAB01,Aceh,"2022-01-02",CUST55477,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,1,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6095,TD,CAB01,Kuningan,"2022-01-27",CUST55478,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,5,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6049,TA,CAB02,Jakarta,"2022-01-28",CUST55479,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,9,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6039,EPM,CAB03,Bandung,"2022-01-23",CUST55480,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,13,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6276,TD,CAB01,Tangerang,"2022-01-30",CUST55481,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,1,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6015,TD,CAB01,Bekasi,"2022-01-31",CUST55482,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,5,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6185,TA,CAB02,Padang,"2022-01-02",CUST55483,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,9,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6258,EPM,CAB03,Lampung,"2022-01-27",CUST55484,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,1,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6070,TD,CAB04,Aceh,"2022-01-28",CUST55485,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,23,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6210,TA,CAB05,Kuningan,"2022-01-23",CUST55486,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,4,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6083,EPM,CAB06,Jakarta,"2022-01-30",CUST55487,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,2,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6322,TD,CAB07,Bandung,"2022-01-31",CUST55488,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,17,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6291,TD,CAB08,Tangerang,"2022-01-02",CUST55489,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,11,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6062,TA,CAB09,Bekasi,"2022-01-27",CUST55490,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,12,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6167,EPM,CAB10,Padang,"2022-01-28",CUST55491,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6289,TD,CAB01,Aceh,"2022-01-23",CUST55492,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,25,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6305,TA,CAB01,Kuningan,"2022-01-30",CUST55493,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,14,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6079,EPM,CAB02,Jakarta,"2022-01-31",CUST55494,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,34,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6320,TD,CAB03,Bandung,"2022-01-02",CUST55495,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,67,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6103,TA,CAB01,Tangerang,"2022-01-27",CUST55496,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,15,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6172,EPM,CAB01,Bekasi,"2022-01-28",CUST55497,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,12,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6183,TD,CAB02,Padang,"2022-01-23",CUST55498,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,25,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6278,TD,CAB03,Lampung,"2022-01-30",CUST55499,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,14,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6186,TA,CAB04,Aceh,"2022-01-31",CUST55500,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,18,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6211,EPM,CAB05,Kuningan,"2022-01-02",CUST55501,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,18,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6118,TD,CAB06,Jakarta,"2022-01-27",CUST55502,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,19,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6162,TA,CAB07,Bandung,"2022-01-28",CUST55503,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,12,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6221,EPM,CAB08,Tangerang,"2022-01-23",CUST55504,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,25,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6170,TD,CAB09,Bekasi,"2022-01-30",CUST55505,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,14,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6045,TA,CAB10,Padang,"2022-01-31",CUST55506,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,21,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6300,EPM,CAB01,Aceh,"2022-01-02",CUST55507,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,22,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6228,TD,CAB01,Kuningan,"2022-01-27",CUST55508,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,12,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6199,TD,CAB02,Jakarta,"2022-01-28",CUST55509,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,25,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6215,TA,CAB03,Bandung,"2022-01-23",CUST55510,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,14,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6107,EPM,CAB01,Tangerang,"2022-01-30",CUST55511,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,24,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6152,TD,CAB01,Bekasi,"2022-01-31",CUST55512,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,10,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6017,TA,CAB02,Padang,"2022-01-02",CUST55513,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,23,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6299,EPM,CAB03,Lampung,"2022-01-27",CUST55514,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,12,5648.3,"203",SLCYL,BRND005,Z31,Klinik
